Algorithm,Chunk Size,Uncompressed Size (B),Compressed Size (B),Compression Ratio,Compression Throughput (GB/s),Decompression Throughput (GB/s)
ans,256,N/A,N/A,N/A,N/A,N/A
ans,512,N/A,N/A,N/A,N/A,N/A
ans,1024,N/A,N/A,N/A,N/A,N/A
ans,2048,N/A,N/A,N/A,N/A,N/A
ans,4096,N/A,N/A,N/A,N/A,N/A
ans,8192,N/A,N/A,N/A,N/A,N/A
ans,16384,N/A,N/A,N/A,N/A,N/A
ans,32768,N/A,N/A,N/A,N/A,N/A
ans,65536,N/A,N/A,N/A,N/A,N/A
ans,1048576,N/A,N/A,N/A,N/A,N/A
ans,2097152,N/A,N/A,N/A,N/A,N/A
ans,4194304,N/A,N/A,N/A,N/A,N/A
ans,8388608,N/A,N/A,N/A,N/A,N/A
ans,16777216,N/A,N/A,N/A,N/A,N/A
ans,33554432,N/A,N/A,N/A,N/A,N/A
ans,67108864,N/A,N/A,N/A,N/A,N/A
bitcomp,256,N/A,N/A,N/A,N/A,N/A
bitcomp,512,N/A,N/A,N/A,N/A,N/A
bitcomp,1024,N/A,N/A,N/A,N/A,N/A
bitcomp,2048,10317600944,5461001000,1.8893,100.9152,115.7923
bitcomp,4096,10317600944,5314260420,1.9415,205.0883,171.9857
bitcomp,8192,10317600944,5228629772,1.9733,374.3000,229.6108
bitcomp,16384,10317600944,5208478220,1.9809,409.5014,257.5346
bitcomp,32768,10317600944,5198402444,1.9848,403.2571,245.0634
bitcomp,65536,10317600944,5193364556,1.9867,403.1926,246.9252
bitcomp,1048576,10317600944,5188641516,1.9885,401.3456,259.5781
bitcomp,2097152,10317600944,5188484076,1.9886,397.6550,281.1951
bitcomp,4194304,10317600944,5188405356,1.9886,391.2014,245.6190
bitcomp,8388608,10317600944,5188365996,1.9886,379.5593,214.1551
bitcomp,16777216,10317600944,5188346316,1.9886,345.2857,212.1753
bitcomp,33554432,N/A,N/A,N/A,N/A,N/A
bitcomp,67108864,N/A,N/A,N/A,N/A,N/A
